ticker,horizon,loss,model,in_mcs,mcs_p,set_size
MSFT,5,mse,har,True,0.7425,5
MSFT,5,mse,regime_features,False,0.023,5
MSFT,5,mse,regime_normal,False,0.023,5
MSFT,5,mse,regime_shrunk,True,0.7425,5
MSFT,5,mse,ridge,True,0.7425,5
MSFT,5,qlike,ewma,True,0.169,7
MSFT,5,qlike,garch11,True,0.169,7
MSFT,5,qlike,gbm_gated,False,0.07,7
MSFT,5,qlike,gbm_pooled,True,0.169,7
MSFT,5,qlike,har,True,0.169,7
MSFT,5,qlike,regime_features,True,0.169,7
MSFT,5,qlike,regime_normal,False,0.094,7
MSFT,5,qlike,regime_shrunk,True,0.169,7
MSFT,5,qlike,ridge,True,0.169,7
MSFT,20,mse,ewma,True,0.248,2
MSFT,20,mse,garch11,False,0.062,2
MSFT,20,mse,gbm_gated,False,0.0055,2
MSFT,20,mse,gbm_pooled,False,0.0095,2
MSFT,20,mse,har,True,0.248,2
MSFT,20,mse,regime_features,False,0.0445,2
MSFT,20,mse,regime_normal,False,0.0055,2
MSFT,20,mse,regime_shrunk,False,0.0095,2
MSFT,20,mse,ridge,False,0.062,2
